date,location,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,wave
1/7/21,Denmark,257.143,0.571,44.234,0.098,2.064,8.945,6.881,14.262,33.87,0,10395,50,5813302,delta
2/7/21,Denmark,272,0.714,46.789,0.123,1.892,8.257,6.709,14.84,34.63,0,10448,47.22,5813302,delta
3/7/21,Denmark,308,0.857,52.982,0.147,1.72,7.397,6.365,15.243,35.19,0,10520,47.22,5813302,delta
4/7/21,Denmark,339.143,0.714,58.339,0.123,1.548,6.709,6.365,15.629,35.69,0,10571,47.22,5813302,delta
5/7/21,Denmark,365.714,0.571,62.91,0.098,1.548,6.881,7.569,16.007,36.43,0,10844,47.22,5813302,delta
6/7/21,Denmark,408.429,0.571,70.258,0.098,1.376,7.397,7.913,16.305,37.16,0,11092,47.22,5813302,delta
7/7/21,Denmark,458.286,0.571,78.834,0.098,1.548,6.709,7.913,16.362,37.85,0.01,11457,47.22,5813302,delta
8/7/21,Denmark,484.429,0.429,83.331,0.074,1.376,6.537,8.085,16.043,38.48,0.01,11746,47.22,5813302,delta
9/7/21,Denmark,516.571,0.286,88.86,0.049,1.548,6.021,8.257,16.005,39.05,0.01,12106,47.22,5813302,delta
10/7/21,Denmark,527,0.286,90.654,0.049,1.548,4.817,8.945,16.151,39.43,0.01,12313,47.22,5813302,delta
11/7/21,Denmark,558,0.286,95.987,0.049,1.548,4.989,10.321,16.064,39.81,0.01,12671,47.22,5813302,delta
12/7/21,Denmark,631,0.286,108.544,0.049,1.548,6.365,11.181,15.852,40.74,0.01,13027,47.22,5813302,delta
13/7/21,Denmark,704.286,0.143,121.151,0.025,1.72,8.085,13.59,15.653,41.6,0.01,13216,47.22,5813302,delta
14/7/21,Denmark,777.571,0.143,133.757,0.025,2.064,8.773,14.966,15.513,42.37,0.01,13261,47.22,5813302,delta
15/7/21,Denmark,846.571,0.286,145.627,0.049,1.892,8.773,15.482,15.274,43.29,0.01,13325,47.22,5813302,delta
16/7/21,Denmark,905,0.429,155.677,0.074,1.892,9.117,16.858,15.043,44.04,0.01,13210,47.22,5813302,delta
17/7/21,Denmark,977.857,0.429,168.21,0.074,1.72,9.461,17.202,15.005,44.49,0.01,13168,47.22,5813302,delta
18/7/21,Denmark,982.429,0.429,168.997,0.074,1.72,9.117,17.202,15.02,45.08,0.01,13111,47.22,5813302,delta
19/7/21,Denmark,981.857,0.429,168.898,0.074,1.548,8.601,17.718,14.929,46.02,0.01,13041,47.22,5813302,delta
20/7/21,Denmark,948.286,0.429,163.123,0.074,1.72,8.601,16.858,14.69,46.99,0.01,13022,47.22,5813302,delta
21/7/21,Denmark,898.143,0.429,154.498,0.074,2.064,9.461,16.514,14.322,47.94,0.01,12957,47.22,5813302,delta
22/7/21,Denmark,850.143,0.286,146.241,0.049,2.236,9.805,16.342,13.659,48.83,0.01,12700,47.22,5813302,delta
23/7/21,Denmark,814,0.143,140.024,0.025,1.892,9.461,15.998,13.07,49.58,0.01,12575,47.22,5813302,delta
24/7/21,Denmark,773.857,0,133.118,0,1.72,9.633,15.826,12.573,49.99,0.01,12340,47.22,5813302,delta
25/7/21,Denmark,774.286,0,133.192,0,1.72,10.149,16.514,12.192,50.53,0.01,12110,47.22,5813302,delta
26/7/21,Denmark,764,0.143,131.423,0.025,1.72,10.321,16.342,11.84,51.25,0.01,11618,47.22,5813302,delta
27/7/21,Denmark,726.714,0.571,125.009,0.098,1.72,10.493,18.062,11.541,52.02,0.01,11089,47.22,5813302,delta
28/7/21,Denmark,788.571,0.714,135.649,0.123,1.72,11.009,18.406,11.34,52.77,0.01,10529,47.22,5813302,delta
29/7/21,Denmark,794.714,0.857,136.706,0.147,1.72,9.805,18.75,11.115,53.44,0.01,10082,47.22,5813302,delta
30/7/21,Denmark,848.714,0.857,145.995,0.147,1.376,9.633,19.782,10.976,54.04,0.01,9604,47.22,5813302,delta
31/7/21,Denmark,847.286,1,145.749,0.172,1.376,9.289,20.126,10.994,54.39,0.01,9242,38.89,5813302,delta
1/8/21,Denmark,882.857,1,151.868,0.172,1.376,9.805,19.266,10.85,54.72,0.01,8827,38.89,5813302,delta
2/8/21,Denmark,884.714,1,152.188,0.172,1.376,9.289,18.406,10.596,55.42,0.01,8580,38.89,5813302,delta
3/8/21,Denmark,920.571,0.571,158.356,0.098,1.376,10.665,17.202,10.39,56.16,0.01,8301,38.89,5813302,delta
4/8/21,Denmark,869.571,0.429,149.583,0.074,1.376,10.149,16.514,10.178,56.92,0.01,8145,38.89,5813302,delta
5/8/21,Denmark,881.571,0.571,151.647,0.098,1.548,10.665,18.062,10.011,57.61,0.01,7983,38.89,5813302,delta
6/8/21,Denmark,850.143,0.571,146.241,0.098,2.064,11.869,17.89,10.04,58.3,0.01,8007,38.89,5813302,delta
7/8/21,Denmark,879.714,0.429,151.328,0.074,2.064,11.525,19.782,10.142,58.76,0.01,8207,38.89,5813302,delta
8/8/21,Denmark,869.429,0.429,149.558,0.074,2.236,13.762,20.642,10.272,59.38,0.01,8499,38.89,5813302,delta
