date,location,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,wave
1/5/21,Malaysia,3048.857,13.571,93.02,0.414,13.302,94.55,181.748,2.311,1.72,0,716,65.28,32776195,delta
2/5/21,Malaysia,3152.857,13.857,96.194,0.423,13.485,99.157,196.118,2.305,1.74,0,720,65.28,32776195,delta
3/5/21,Malaysia,3113.429,14.571,94.991,0.445,13.79,104.008,196.637,2.321,1.83,0,812,65.28,32776195,delta
4/5/21,Malaysia,3168.714,16,96.677,0.488,13.485,104.893,199.505,2.353,1.89,0,878,65.28,32776195,delta
5/5/21,Malaysia,3254.714,16.286,99.301,0.497,13.821,112.826,204.844,2.379,1.96,0,944,65.28,32776195,delta
6/5/21,Malaysia,3286,16.857,100.256,0.514,15.163,116.426,209.451,2.428,2.01,0,1133,65.28,32776195,delta
7/5/21,Malaysia,3387.429,18,103.35,0.549,15.896,120.636,209.268,2.451,2.06,0,1225,65.28,32776195,delta
8/5/21,Malaysia,3621.429,19.429,110.49,0.593,16.841,123.291,211.648,2.526,2.09,0,1320,65.28,32776195,delta
9/5/21,Malaysia,3666.429,21.429,111.863,0.654,16.933,128.233,213.081,2.569,2.11,0,1393,65.28,32776195,delta
10/5/21,Malaysia,3853.143,21.286,117.559,0.649,18.794,135.068,223.241,2.522,2.18,0,1438,65.28,32776195,delta
11/5/21,Malaysia,3975,21.143,121.277,0.645,19.404,136.105,224.553,2.558,2.24,0,1434,65.28,32776195,delta
12/5/21,Malaysia,4120.857,24.286,125.727,0.741,19.16,140.925,232.181,2.513,2.26,0,1273,80.56,32776195,delta
13/5/21,Malaysia,4307.143,25.429,131.411,0.776,19.984,143.061,240.266,2.35,2.26,0,1030,80.56,32776195,delta
14/5/21,Malaysia,4252.143,27.143,129.733,0.828,20.259,147.943,239.381,2.175,2.26,0,822,80.56,32776195,delta
15/5/21,Malaysia,4198,29.857,128.081,0.911,20.655,151.116,243.988,2.102,2.26,0,751,80.56,32776195,delta
16/5/21,Malaysia,4204.714,31.286,128.286,0.955,21.052,155.784,239.32,2.105,2.27,0,655,80.56,32776195,delta
17/5/21,Malaysia,4296,35.286,131.071,1.077,23.066,164.327,237.917,2.242,2.35,0,651,80.56,32776195,delta
18/5/21,Malaysia,4423.429,38.857,134.959,1.186,23.035,150.475,242.31,2.294,2.45,0,778,80.56,32776195,delta
19/5/21,Malaysia,4610.571,39.857,140.668,1.216,25.11,173.113,242.493,2.453,2.55,0,1067,80.56,32776195,delta
20/5/21,Malaysia,4889.286,44.429,149.172,1.356,26.696,182.388,246.215,2.741,2.62,0,1421,80.56,32776195,delta
21/5/21,Malaysia,5229.286,46.714,159.545,1.425,29.534,185.012,258.389,3.085,2.68,0,1687,80.56,32776195,delta
22/5/21,Malaysia,5540.714,47.571,169.047,1.451,29.717,192.945,268.03,3.318,2.69,0,1843,80.56,32776195,delta
23/5/21,Malaysia,5997.286,49.429,182.977,1.508,30.785,197.949,279.563,3.506,2.72,0,2000,80.56,32776195,delta
24/5/21,Malaysia,6292,51.714,191.969,1.578,31.913,210.122,287.495,3.577,2.8,0,2154,80.56,32776195,delta
25/5/21,Malaysia,6638.286,53.571,202.534,1.634,34.446,214.393,296.16,3.641,2.89,0,2252,80.56,32776195,delta
26/5/21,Malaysia,6838.714,56,208.649,1.709,33.775,219.916,302.72,3.65,2.9,0,1982,80.56,32776195,delta
27/5/21,Malaysia,6988.857,56,213.23,1.709,34.354,226.658,306.015,3.661,3.05,0,2101,80.56,32776195,delta
28/5/21,Malaysia,7245.571,57.571,221.062,1.757,35.422,230.96,311.476,3.695,3.13,0,2159,80.56,32776195,delta
29/5/21,Malaysia,7631.286,64.429,232.83,1.966,35.208,228.825,314.558,3.702,3.18,0,2244,80.56,32776195,delta
30/5/21,Malaysia,7634.571,68.714,232.93,2.096,35.3,235.628,319.348,3.638,3.25,0,2315,80.56,32776195,delta
31/5/21,Malaysia,7679.571,69.571,234.303,2.123,36.063,232.669,317.242,3.62,3.34,0,2318,80.56,32776195,delta
1/6/21,Malaysia,7653.286,71.143,233.501,2.171,36.032,234.194,317.639,3.546,3.41,0,2314,80.56,32776195,delta
2/6/21,Malaysia,7685.429,80.143,234.482,2.445,36.673,231.479,316.48,3.515,3.44,0,2683,80.56,32776195,delta
3/6/21,Malaysia,7735.714,86.429,236.016,2.637,35.88,230.808,315.625,3.464,3.47,0,2730,80.56,32776195,delta
4/6/21,Malaysia,7658.286,90,233.654,2.746,35.208,223.851,309.737,3.361,3.48,0,2804,80.56,32776195,delta
5/6/21,Malaysia,7434.286,91.571,226.82,2.794,35.239,227.513,309.035,3.274,3.49,0,2836,80.56,32776195,delta
6/6/21,Malaysia,7326,92.714,223.516,2.829,36.246,227.665,305.71,3.23,3.49,0,2923,80.56,32776195,delta
7/6/21,Malaysia,7104.143,94.857,216.747,2.894,35.849,221.99,307.205,3.112,3.51,0,2790,80.56,32776195,delta
8/6/21,Malaysia,6884.286,95.571,210.039,2.916,35.239,219,303.604,3.037,3.65,0,3030,64.81,32776195,delta
9/6/21,Malaysia,6675.143,88.286,203.658,2.694,35.208,217.719,297.197,2.996,3.77,0,3249,64.81,32776195,delta
10/6/21,Malaysia,6312.571,84,192.596,2.563,34.354,215.156,293.17,2.952,3.92,0,3432,64.81,32776195,delta
11/6/21,Malaysia,6184.143,83.714,188.678,2.554,35.056,212.624,291.736,2.893,4.01,0,3585,64.81,32776195,delta
12/6/21,Malaysia,5947.143,79,181.447,2.41,34.568,212.563,285.36,2.845,4.12,0,3865,64.81,32776195,delta
13/6/21,Malaysia,5813.286,75.714,177.363,2.31,35.086,208.81,278.525,2.787,4.2,0,4079,64.81,32776195,delta
14/6/21,Malaysia,5767.286,72.571,175.96,2.214,34.476,205.149,274.284,2.791,4.37,0,4681,64.81,32776195,delta
15/6/21,Malaysia,5746.286,76.143,175.319,2.323,33.958,205.698,276.023,2.765,4.54,0,4979,78.7,32776195,delta
16/6/21,Malaysia,5590.714,75.857,170.572,2.314,34.812,203.471,273.583,2.647,4.57,0,5229,78.7,32776195,delta
17/6/21,Malaysia,5600.286,74,170.864,2.258,34.141,205.912,280.844,2.584,4.7,0,5527,78.7,32776195,delta
18/6/21,Malaysia,5541.857,72.571,169.082,2.214,34.324,207.834,284.231,2.553,4.8,0,5785,78.7,32776195,delta
19/6/21,Malaysia,5558.714,72,169.596,2.197,33.713,202.769,281.637,2.531,4.91,0,5935,78.7,32776195,delta
20/6/21,Malaysia,5557.143,71.429,169.548,2.179,33.195,204.051,280.814,2.492,4.99,0,6000,78.7,32776195,delta
21/6/21,Malaysia,5508.857,72.714,168.075,2.219,33.103,202.952,280.447,2.458,5.15,0,6180,78.7,32776195,delta
22/6/21,Malaysia,5412.286,69.286,165.129,2.114,34.049,203.867,281.241,2.43,5.34,0,6341,78.7,32776195,delta
23/6/21,Malaysia,5425.714,70.714,165.538,2.157,34.141,201.854,287.648,2.442,5.58,0,6563,78.7,32776195,delta
24/6/21,Malaysia,5440.429,74.143,165.987,2.262,33.836,203.684,282.187,2.399,5.87,0,6773,78.7,32776195,delta
25/6/21,Malaysia,5350.714,75.286,163.25,2.297,33.836,191.114,276.023,2.359,6.08,0,6935,78.7,32776195,delta
26/6/21,Malaysia,5335.286,76.571,162.779,2.336,33.683,204.539,278.586,2.321,6.25,0,7050,78.7,32776195,delta
27/6/21,Malaysia,5377.143,76.571,164.056,2.336,34.354,203.471,276.725,2.32,6.46,0,7186,78.7,32776195,delta
28/6/21,Malaysia,5463.857,74.857,166.702,2.284,35.086,211.281,278.464,2.323,6.59,0,7033,78.7,32776195,delta
29/6/21,Malaysia,5705.857,79.143,174.085,2.415,35.392,213.997,272.057,2.362,6.85,0,6964,78.7,32776195,delta
30/6/21,Malaysia,5853.286,76.143,178.583,2.323,35.361,211.495,264.125,2.431,7.15,0,6987,78.7,32776195,delta
1/7/21,Malaysia,6017.143,76.143,183.583,2.323,36.734,217.444,264.735,2.521,7.41,0,6954,80.56,32776195,delta
2/7/21,Malaysia,6184.286,74.857,188.682,2.284,36.002,224.736,269.983,2.59,7.63,0,7031,80.56,32776195,delta
3/7/21,Malaysia,6306.429,78.571,192.409,2.397,35.483,229.099,272.789,2.645,7.87,0,7143,80.56,32776195,delta
4/7/21,Malaysia,6372,79,194.409,2.41,37.283,236.727,276.176,2.667,8.12,0,7308,80.56,32776195,delta
5/7/21,Malaysia,6539,81.857,199.505,2.497,37.466,238.039,274.895,2.722,8.49,0,7822,80.56,32776195,delta
6/7/21,Malaysia,6712.857,81.286,204.809,2.48,38.626,243.195,280.814,2.73,8.91,0,8310,80.56,32776195,delta
7/7/21,Malaysia,6830.143,85.429,208.387,2.606,39.297,247.832,288.96,2.751,9.45,0,8853,80.56,32776195,delta
8/7/21,Malaysia,7098.714,92.714,216.581,2.829,39.327,249.297,290.15,2.788,9.94,0,9377,80.56,32776195,delta
9/7/21,Malaysia,7412.714,93.286,226.162,2.846,39.999,255.521,292.682,2.866,10.34,0,9855,80.56,32776195,delta
10/7/21,Malaysia,7797.714,90.429,237.908,2.759,39.968,255.643,294.696,2.94,10.69,0,10344,80.56,32776195,delta
11/7/21,Malaysia,8234.857,94.286,251.245,2.877,40.639,265.711,304.459,3.056,11.01,0,10703,80.56,32776195,delta
12/7/21,Malaysia,8547.286,98,260.777,2.99,42.439,270.227,310.378,3.195,11.5,0,11166,80.56,32776195,delta
13/7/21,Malaysia,9036.571,101.143,275.705,3.086,43.202,273.827,313.551,3.392,12.03,0,11530,80.56,32776195,delta
14/7/21,Malaysia,9682.429,105,295.41,3.204,38.229,284.353,324.382,3.563,12.53,0,11809,80.56,32776195,delta
15/7/21,Malaysia,10303.429,101.429,314.357,3.095,36.795,293.079,330.545,3.761,13.02,0,12194,80.56,32776195,delta
16/7/21,Malaysia,10783.571,106.857,329.006,3.26,38.748,305.099,331.216,3.889,13.43,0,12488,80.56,32776195,delta
17/7/21,Malaysia,11237.143,114.143,342.845,3.482,40.029,307.54,341.162,4.031,13.83,0,12752,80.56,32776195,delta
18/7/21,Malaysia,11466.429,123.143,349.84,3.757,40.182,316.632,345.434,4.096,14.15,0,13007,80.56,32776195,delta
19/7/21,Malaysia,11809,126.857,360.292,3.87,40.578,347.051,350.986,4.162,14.62,0,13045,80.56,32776195,delta
20/7/21,Malaysia,11992.857,122.286,365.901,3.731,40.853,335.518,355.166,3.98,14.94,0,12488,85.19,32776195,delta
21/7/21,Malaysia,12045.286,133.857,367.501,4.084,40.639,343.389,354.434,3.961,15.46,0,12488,85.19,32776195,delta
22/7/21,Malaysia,12019.429,137.286,366.712,4.189,41.89,344.335,361.97,3.975,16,0,12668,85.19,32776195,delta
23/7/21,Malaysia,12452.571,141.429,379.927,4.315,41.371,347.752,379.727,4.03,16.5,0,12934,85.19,32776195,delta
