date,location,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,wave
1/5/21,South Africa,1210.286,40.143,20.157,0.669,0,0,37.407,0.415,0.53,0,52,50.93,60041996,delta
2/5/21,South Africa,1227.571,38.429,20.445,0.64,0,0,37.407,0.4,0.54,0,64,50.93,60041996,delta
3/5/21,South Africa,1234.429,38,20.559,0.633,0,0,37.407,0.404,0.55,0,75,43.52,60041996,delta
4/5/21,South Africa,1278.286,39.143,21.29,0.652,0,0,37.407,0.41,0.59,0,132,43.52,60041996,delta
5/5/21,South Africa,1395.857,38.857,23.248,0.647,0,0,37.407,0.436,0.61,0,162,43.52,60041996,delta
6/5/21,South Africa,1547.714,41.286,25.777,0.688,0,0,37.407,0.43,0.62,0,157,43.52,60041996,delta
7/5/21,South Africa,1630.857,48.143,27.162,0.802,0,0,37.407,0.421,0.63,0,151,43.52,60041996,delta
8/5/21,South Africa,1397.714,40.143,23.279,0.669,0,0,42.92,0.425,0.64,0,152,43.52,60041996,delta
9/5/21,South Africa,1790.143,45.429,29.815,0.757,0,0,42.92,0.449,0.65,0,155,43.52,60041996,delta
10/5/21,South Africa,1823.286,53.286,30.367,0.887,0,0,42.92,0.453,0.66,0,157,43.52,60041996,delta
11/5/21,South Africa,1874.857,55,31.226,0.916,0,0,42.92,0.457,0.69,0,146,43.52,60041996,delta
12/5/21,South Africa,1972.857,58.714,32.858,0.978,0,0,42.92,0.466,0.72,0,154,43.52,60041996,delta
13/5/21,South Africa,2126,56,35.409,0.933,0,0,42.92,0.488,0.76,0,194,43.52,60041996,delta
14/5/21,South Africa,2252.429,62.429,37.514,1.04,0,0,42.92,0.526,0.79,0,222,43.52,60041996,delta
15/5/21,South Africa,2645.286,70.857,44.057,1.18,0,0,49.465,0.537,0.8,0,228,43.52,60041996,delta
16/5/21,South Africa,2447.571,67.857,40.764,1.13,0,0,49.465,0.541,0.8,0,214,43.52,60041996,delta
17/5/21,South Africa,2537.286,62.143,42.259,1.035,0,0,49.465,0.544,0.8,0,199,39.81,60041996,delta
18/5/21,South Africa,2652.571,63.429,44.179,1.056,0,0,49.465,0.559,0.8,0,249,39.81,60041996,delta
19/5/21,South Africa,2761.571,77,45.994,1.282,0,0,49.465,0.567,0.825294118,0,303,39.81,60041996,delta
20/5/21,South Africa,2821.571,79.429,46.993,1.323,0,0,49.465,0.561,0.850588235,0,338,39.81,60041996,delta
21/5/21,South Africa,2848.857,85,47.448,1.416,0,0,49.465,0.544,0.875882353,0,400,39.81,60041996,delta
22/5/21,South Africa,3061.143,84.143,50.983,1.401,0,0,61.074,0.566,0.901176471,0,403,39.81,60041996,delta
23/5/21,South Africa,3105.286,84.571,51.719,1.409,0,0,61.074,0.571,0.926470588,0,411,39.81,60041996,delta
24/5/21,South Africa,3194.714,87.714,53.208,1.461,0,0,61.074,0.58,0.951764706,0,529,25,60041996,delta
25/5/21,South Africa,2858.286,90.857,47.605,1.513,0,0,61.074,0.57,0.977058824,0,578,25,60041996,delta
26/5/21,South Africa,3456.143,81.429,57.562,1.356,0,0,61.074,0.583,1.002352941,0,642,25,60041996,delta
27/5/21,South Africa,3567.714,86,59.42,1.432,0,0,61.074,0.592,1.027647059,0,717,25,60041996,delta
28/5/21,South Africa,3745.143,82,62.375,1.366,0,0,61.074,0.603,1.052941176,0,765,25,60041996,delta
29/5/21,South Africa,3785.571,84.429,63.049,1.406,0,0,73.582,0.594,1.078235294,0,762,25,60041996,delta
30/5/21,South Africa,3372.143,80.143,56.163,1.335,0,0,73.582,0.599,1.103529412,0,759,25,60041996,delta
31/5/21,South Africa,3967,90.286,66.07,1.504,0,0,73.582,0.602,1.128823529,0,819,25,60041996,delta
1/6/21,South Africa,4483.286,89.286,74.669,1.487,0,0,73.582,0.622,1.154117647,0,846,48.15,60041996,delta
2/6/21,South Africa,4208.286,90.571,70.089,1.508,0,0,73.582,0.621,1.179411765,0,869,48.15,60041996,delta
3/6/21,South Africa,4342.286,85,72.321,1.416,0,0,73.582,0.622,1.204705882,0,875,48.15,60041996,delta
4/6/21,South Africa,4498.571,77,74.924,1.282,0,0,73.582,0.63,1.23,0,887,48.15,60041996,delta
5/6/21,South Africa,4631.571,80.857,77.139,1.347,0,0,82.975,0.632,1.255294118,0,893,48.15,60041996,delta
6/6/21,South Africa,5356.286,87.286,89.209,1.454,0,0,82.975,0.642,1.280588235,0,904,48.15,60041996,delta
7/6/21,South Africa,4890.286,79.571,81.448,1.325,0,0,82.975,0.639,1.305882353,0,925,48.15,60041996,delta
8/6/21,South Africa,4975.286,83.143,82.863,1.385,0,0,82.975,0.628,1.331176471,0,970,48.15,60041996,delta
9/6/21,South Africa,5418,85.571,90.237,1.425,0,0,82.975,0.648,1.356470588,0,1013,48.15,60041996,delta
10/6/21,South Africa,5959,92.143,99.247,1.535,0,0,82.975,0.683,1.381764706,0,1007,48.15,60041996,delta
11/6/21,South Africa,6295,108.571,104.843,1.808,0,0,82.975,0.696,1.407058824,0,1025,48.15,60041996,delta
12/6/21,South Africa,6847.714,111,114.049,1.849,0,0,108.757,0.733,1.432352941,0,1023,48.15,60041996,delta
13/6/21,South Africa,7216.857,113,120.197,1.882,0,0,108.757,0.754,1.457647059,0,1016,48.15,60041996,delta
14/6/21,South Africa,7540.143,116.571,125.581,1.941,0,0,108.757,0.77,1.482941176,0,1043,44.44,60041996,delta
15/6/21,South Africa,8144,129.143,135.638,2.151,0,0,108.757,0.806,1.508235294,0,1048,44.44,60041996,delta
16/6/21,South Africa,8767.571,130.429,146.024,2.172,0,0,108.757,0.823,1.533529412,0,845,59.26,60041996,delta
17/6/21,South Africa,9141.857,130.429,152.258,2.172,0,0,108.757,0.809,1.558823529,0,903,59.26,60041996,delta
18/6/21,South Africa,9497.571,121.286,158.182,2.02,0,0,108.757,0.815,1.584117647,0,880,59.26,60041996,delta
19/6/21,South Africa,10105.571,126.286,168.308,2.103,0,0,134.622,0.821,1.609411765,0,876,59.26,60041996,delta
20/6/21,South Africa,10891,133.857,181.39,2.229,0,0,134.622,0.847,1.634705882,0,971,59.26,60041996,delta
21/6/21,South Africa,11407,130.857,189.984,2.179,0,0,134.622,0.863,1.66,0,850,59.26,60041996,delta
22/6/21,South Africa,11786.571,143.571,196.305,2.391,0,0,134.622,0.862,1.685294118,0,881,51.85,60041996,delta
23/6/21,South Africa,12393.286,147.857,206.41,2.463,0,0,134.622,0.884,1.710588235,0,1116,51.85,60041996,delta
24/6/21,South Africa,13009.143,154.714,216.667,2.577,0,0,134.622,0.916,1.735882353,0,1144,51.85,60041996,delta
25/6/21,South Africa,14188,168.571,236.301,2.808,0,0,134.622,0.97,1.761176471,0,1247,51.85,60041996,delta
26/6/21,South Africa,14813.857,169.714,246.725,2.827,0,0,177.126,0.997,1.786470588,0,1287,51.85,60041996,delta
27/6/21,South Africa,15082.571,171.143,251.2,2.85,0,0,177.126,0.998,1.811764706,0,1414,71.3,60041996,delta
28/6/21,South Africa,15520,177.571,258.486,2.957,0,0,177.126,1.013,1.837058824,0,1329,71.3,60041996,delta
29/6/21,South Africa,15842,167.429,263.849,2.789,0,0,177.126,1.022,1.862352941,0,1343,71.3,60041996,delta
30/6/21,South Africa,16129.571,198.429,268.638,3.305,0,0,177.126,1.023,1.887647059,0,1388,71.3,60041996,delta
1/7/21,South Africa,16916.143,231.857,281.739,3.862,0,0,177.126,1.048,1.912941176,0,1441,75,60041996,delta
2/7/21,South Africa,17703,244.429,294.844,4.071,0,0,177.126,1.084,1.938235294,0,1357,75,60041996,delta
3/7/21,South Africa,18921.429,247,315.137,4.114,0,0,211.835,1.148,1.963529412,0,1487,75,60041996,delta
4/7/21,South Africa,19142.714,277.143,318.822,4.616,0,0,211.835,1.145,1.988823529,0,1271,75,60041996,delta
5/7/21,South Africa,19184.286,304.714,319.514,5.075,0,0,211.835,1.137,2.014117647,0,1614,75,60041996,delta
6/7/21,South Africa,19491.857,337.714,324.637,5.625,0,0,211.835,1.156,2.039411765,0,1738,72.22,60041996,delta
7/7/21,South Africa,19766.286,341.714,329.208,5.691,0,0,211.835,1.157,2.064705882,0,1898,72.22,60041996,delta
8/7/21,South Africa,19955.714,352.857,332.363,5.877,0,0,211.835,1.155,2.09,0,2050,72.22,60041996,delta
9/7/21,South Africa,19694.429,363,328.011,6.046,0,0,211.835,1.125,2.24,0,2312,72.22,60041996,delta
10/7/21,South Africa,18998,375.857,316.412,6.26,0,0,245.295,1.078,2.26,0,2211,72.22,60041996,delta
11/7/21,South Africa,18957.571,349.857,315.739,5.827,0,0,245.295,1.075,2.295,0,2378,72.22,60041996,delta
12/7/21,South Africa,18767.429,334,312.572,5.563,0,0,245.295,1.066,2.33,0,2200,72.22,60041996,delta
13/7/21,South Africa,18343.857,359.143,305.517,5.982,0,0,245.295,1.048,2.43,0,2151,72.22,60041996,delta
14/7/21,South Africa,17781.286,365.143,296.147,6.081,0,0,245.295,1.014,2.61,0,2300,72.22,60041996,delta
15/7/21,South Africa,16856.286,353.286,280.742,5.884,0,0,245.295,0.965,2.79,0,2448,72.22,60041996,delta
16/7/21,South Africa,15927.429,358.857,265.271,5.977,0,0,245.295,0.913,2.795,0,2035,72.22,60041996,delta
17/7/21,South Africa,14940.429,362.571,248.833,6.039,0,0,237.867,0.85,2.8,0,1984,72.22,60041996,delta
