date,location,new_cases_smoothed,new_deaths_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,weekly_hosp_admissions_per_million,new_tests_smoothed_per_thousand,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,wave
1/7/21,United States,12726.429,260,38.227,0.781,10.856,38.637,41.68,1.742,48.67,0,1695,61.57,332915074,delta
2/7/21,United States,13484,247.429,40.503,0.743,12.096,39.752,42.936,1.712,48.77,0,1632,61.57,332915074,delta
3/7/21,United States,12888.857,237.429,38.715,0.713,11.273,38.797,43.428,1.693,48.82,0,1572,61.57,332915074,delta
4/7/21,United States,12828,232.857,38.532,0.699,11.345,39.412,43.786,1.66,48.83,0,1479,61.57,332915074,delta
5/7/21,United States,12122.286,229.714,36.413,0.69,11.664,40.35,44.327,1.556,48.89,0,1412,61.57,332915074,delta
6/7/21,United States,14371.429,224.429,43.168,0.674,11.955,41.975,44.996,1.512,48.99,0,1393,61.57,332915074,delta
7/7/21,United States,15072.286,228.143,45.274,0.685,12.412,44.05,46.555,1.556,49.09,0,1367,61.57,332915074,delta
8/7/21,United States,15897.286,222.714,47.752,0.669,12.907,45.279,48.388,1.591,49.18,0,1351,49.54,332915074,delta
9/7/21,United States,18452.857,226.571,55.428,0.681,13.123,46.285,49.679,1.619,49.28,0,1357,49.54,332915074,delta
10/7/21,United States,19107.143,226,57.393,0.679,13.343,47.189,51.743,1.636,49.34,0,1375,49.54,332915074,delta
11/7/21,United States,20168,236.429,60.58,0.71,13.928,49.25,53.798,1.672,49.38,0,1447,49.54,332915074,delta
12/7/21,United States,23211.857,251.714,69.723,0.756,14.667,52.055,56.234,1.792,49.46,0,1500,49.54,332915074,delta
13/7/21,United States,23721.143,260.143,71.253,0.781,15.235,54.681,59.261,1.856,49.54,0,1475,49.54,332915074,delta
14/7/21,United States,25312.429,261.714,76.033,0.786,15.785,57.327,61.094,1.848,49.62,0,1458,49.54,332915074,delta
15/7/21,United States,26880.857,272.857,80.744,0.82,16.443,59.82,63.506,1.867,49.69,0,1447,49.54,332915074,delta
16/7/21,United States,31130.857,258,93.51,0.775,17.377,62.701,66.368,1.893,49.78,0,1444,49.54,332915074,delta
17/7/21,United States,31668.857,256.429,95.126,0.77,18.005,64.866,69.336,1.91,49.84,0,1444,49.54,332915074,delta
18/7/21,United States,32964.429,265.571,99.018,0.798,18.84,67.777,72.307,1.933,49.87,0,1451,49.54,332915074,delta
19/7/21,United States,35787.429,259.286,107.497,0.779,20.176,72.874,75.743,1.964,49.94,0,1472,49.54,332915074,delta
20/7/21,United States,37654.286,249.714,113.105,0.75,21.372,77.197,79.942,2.033,50.02,0,1505,49.54,332915074,delta
21/7/21,United States,39992.571,252.571,120.128,0.759,22.252,81.273,84.415,2.105,50.1,0,1548,49.54,332915074,delta
22/7/21,United States,43510.571,248,130.696,0.745,23.09,85.923,89.69,2.169,50.18,0,1595,49.54,332915074,delta
23/7/21,United States,49715.857,276.857,149.335,0.832,24.322,90.999,94.631,2.236,50.26,0,1647,49.54,332915074,delta
24/7/21,United States,51716.429,283.571,155.344,0.852,25.289,94.526,100.001,2.29,50.31,0,1675,49.54,332915074,delta
25/7/21,United States,52645.571,270.571,158.135,0.813,26.634,100.344,105.321,2.331,50.33,0,1685,49.54,332915074,delta
26/7/21,United States,57081.143,281,171.459,0.844,28.38,107.379,110.965,2.386,50.4,0,1718,49.54,332915074,delta
27/7/21,United States,60715,303.571,182.374,0.912,30.02,115.032,117.249,2.445,50.47,0,1759,49.54,332915074,delta
28/7/21,United States,64365,307.714,193.338,0.924,31.173,121.599,124.128,2.521,50.55,0,1797,49.54,332915074,delta
29/7/21,United States,66713.571,312.429,200.392,0.938,32.798,126.759,129.97,2.604,50.62,0,1828,49.54,332915074,delta
30/7/21,United States,76686.714,357.143,230.349,1.073,34.432,133.791,137.774,2.676,50.71,0,1865,49.54,332915074,delta
31/7/21,United States,78746,362.429,236.535,1.089,36.373,139.459,145.163,2.724,50.76,0,1887,49.54,332915074,delta
1/8/21,United States,81001.857,380.857,243.311,1.144,38.142,145.797,151.279,2.758,50.79,0,1914,49.54,332915074,delta
2/8/21,United States,85513.571,394,256.863,1.183,40.494,155.535,157.407,2.836,50.86,0,1947,49.54,332915074,delta
3/8/21,United States,90071.857,413.143,270.555,1.241,42.209,163.615,165.159,2.934,50.94,0,1972,49.54,332915074,delta
4/8/21,United States,94334.714,434.857,283.36,1.306,43.96,171.077,172.452,3.026,51.01,0,1997,49.54,332915074,delta
5/8/21,United States,99517.429,460.143,298.927,1.382,45.636,178.986,180.301,3.142,51.09,0,2028,49.54,332915074,delta
6/8/21,United States,108193.143,500.286,324.987,1.503,47.255,186.6,187.006,3.263,51.18,0,2059,49.54,332915074,delta
7/8/21,United States,110845.143,513.571,332.953,1.543,48.553,190.872,193.455,3.364,51.24,0,2077,49.54,332915074,delta
8/8/21,United States,109393.857,499.571,328.594,1.501,50.415,199.357,200.673,3.427,51.28,0,2089,49.54,332915074,delta
9/8/21,United States,116972.714,520.429,351.359,1.563,53.188,209.777,207.386,3.498,51.36,0,2116,49.54,332915074,delta
10/8/21,United States,119900.429,560.571,360.153,1.684,54.861,217.836,213.763,3.57,51.45,0,2131,56.02,332915074,delta
11/8/21,United States,127047.429,595.714,381.621,1.789,57.12,224.832,220.399,3.66,51.54,0,2127,56.02,332915074,delta
